epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,594.944,1.42977,7.11533,1.21941,0.72649,0.75833,0.80416,0.4653,1.43965,3.13224,1.52207,0.00066,0.00066,0.00066
2,1179.05,1.45527,4.50784,1.2927,0.82533,0.82692,0.89998,0.48546,1.45811,2.3728,1.30667,0.00119533,0.00119533,0.00119533
3,1709.35,1.4826,3.99421,1.32707,0.77845,0.84914,0.87629,0.49849,1.38242,1.91331,1.3428,0.00159865,0.00159865,0.00159865
4,2328.36,1.36071,3.57319,1.28285,0.88296,0.86667,0.93624,0.54724,1.4495,1.55738,1.43457,0.001406,0.001406,0.001406
5,4525.22,1.34319,2.31871,1.24302,0.94772,0.90635,0.9696,0.57937,1.31102,1.41655,1.28509,0.001208,0.001208,0.001208
6,5133.37,1.38618,2.24937,1.26144,0.94615,0.87852,0.96879,0.58186,1.40319,1.19884,1.31708,0.00101,0.00101,0.00101
7,5870.11,1.33873,1.57624,1.25684,0.95007,0.95151,0.97956,0.59671,1.37473,1.053,1.32275,0.000812,0.000812,0.000812
8,6821.15,1.21428,1.61847,1.17176,0.95064,0.96292,0.97473,0.60992,1.29358,0.94393,1.28329,0.000614,0.000614,0.000614
9,7506.4,1.19904,1.17831,1.15327,0.9579,0.96667,0.98165,0.63112,1.27297,0.87446,1.25621,0.000416,0.000416,0.000416
10,8208.55,1.16045,1.21564,1.14249,0.95852,0.96285,0.98396,0.65923,1.20431,0.83172,1.20234,0.000218,0.000218,0.000218
