epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,809.12,1.44174,3.5105,1.19201,0.90664,0.85,0.90745,0.55579,1.31812,3.08531,1.175,0.00066,0.00066,0.00066
1,731.03,1.42653,7.18714,1.20166,0.89248,0.48422,0.77908,0.41544,1.46367,3.66232,1.29458,0.00066,0.00066,0.00066
2,1349.75,1.48289,4.45485,1.27739,0.85166,0.75833,0.84834,0.48473,1.45758,2.30677,1.44378,0.00119533,0.00119533,0.00119533
3,2138.31,1.46108,3.83676,1.30721,0.80488,0.875,0.92358,0.51907,1.43889,2.1922,1.29213,0.00159865,0.00159865,0.00159865
4,2853.88,1.37554,3.55925,1.19859,0.87184,0.85032,0.92125,0.53366,1.43131,1.48758,1.26303,0.001406,0.001406,0.001406
5,3601.52,1.31488,2.26014,1.17239,0.92866,0.90833,0.95427,0.57161,1.27914,1.24334,1.19506,0.001208,0.001208,0.001208
6,12289.9,1.31806,2.01362,1.12576,0.9491,0.84167,0.94283,0.57683,1.40643,1.10819,1.2329,0.00101,0.00101,0.00101
7,13173.2,1.28948,1.40529,1.16149,0.95396,0.95,0.97654,0.59152,1.32246,0.94773,1.19552,0.000812,0.000812,0.000812
8,13929,1.18945,1.53655,1.08322,0.96514,0.92288,0.97698,0.60591,1.36632,0.91774,1.20512,0.000614,0.000614,0.000614
9,14700.2,1.23063,1.1587,1.11019,0.96273,0.93333,0.97668,0.58052,1.29458,0.89335,1.1901,0.000416,0.000416,0.000416
10,19236.8,1.17486,1.19569,1.09217,0.96482,0.94167,0.98429,0.65854,1.17791,0.78089,1.12253,0.000218,0.000218,0.000218
